tp,time.s,gas,v2.mV,v3.mV
4665,976.656982421875,H2,139.30449772882426,41.76291654278064
4666,976.8660278320312,H2,139.39960329569735,41.63122542157605
4667,977.0750122070312,H2,139.38496982827675,41.63122542157605
4668,977.2839965820312,H2,139.25329875676917,41.54033903476151
4669,977.4929809570312,H2,139.05102114729917,41.53207814841797
4670,977.7020263671875,H2,138.7619839375196,41.28849533233969
4671,977.9110107421875,H2,138.42163481710347,41.15650150665595
4672,978.1199951171875,H2,138.03468164023036,41.17920803787012
4673,978.3289794921875,H2,137.64811736537908,41.15856565802978
4674,978.5380249023438,H2,137.2638739542581,41.391681631190224
4675,978.7470092773438,H2,136.85280310570613,41.3937457584469
4676,978.9559936523438,H2,136.49262526746998,40.91922908286782
4677,979.1649780273438,H2,136.1432280051692,41.09664796585799
4678,979.3740234375,H2,135.83881152479293,41.10696659725244
4679,979.5830078125,H2,135.56816838122265,41.03061804287056
4680,979.7919921875,H2,135.3185648377626,40.890357950278066
4681,980.0009765625,H2,135.15146432669178,40.556000457613536
4682,980.2100219726562,H2,134.98480231569232,40.44264826429267
4683,980.4190063476562,H2,134.80565034218506,40.59104621052345
4684,980.6279907226562,H2,134.65331049662223,40.48592258182593
4685,980.8369750976562,H2,134.52502631538798,40.246195865709986
4686,981.0460205078125,H2,134.3484178940586,40.48798343647408
4687,981.2550048828125,H2,134.1716478544972,40.55393908424254
4688,981.4639892578125,H2,134.01686389517076,40.430285446317214
4689,981.6729736328125,H2,133.82349016572815,40.231770396252585
4690,981.8820190429688,H2,133.595734456166,40.2881536819637
4691,982.0910034179688,H2,133.34693115056595,40.0937370101021
4692,982.2999877929688,H2,133.10691497679238,39.98253754618209
4693,982.5089721679688,H2,132.85348298157862,39.94959834993694
4694,982.718017578125,H2,132.5867506683396,39.90225529514024
4695,982.927001953125,H2,132.3383653552912,39.71995590697741
4696,983.135986328125,H2,132.12209967507204,39.74260190264034
4697,983.344970703125,H2,131.91725410507937,39.67261132892952
4698,983.5540161132812,H2,131.71766177693357,39.809651586935615
4699,983.7630004882812,H2,131.56349381878084,39.42367440920713
4700,983.9719848632812,H2,131.4479172226586,39.4956573459101
4701,984.1810302734375,H2,131.37811019239643,39.44835210918585
4702,984.3900146484375,H2,131.32276424004763,39.30648616097632
4703,984.5989990234375,H2,131.28664227980303,39.5635445702367
4704,984.8079833984375,H2,131.29627439836133,39.41339270057409
4705,985.0170288085938,H2,131.31553951730112,39.43395650980508
4706,985.2260131835938,H2,131.3805170744352,39.32087495759762
4707,985.4349975585938,H2,131.47439978954034,39.43806945979944
4708,985.6439819335938,H2,131.57312711159918,39.71583865738537
4709,985.85302734375,H2,131.65502196729318,39.485372893052315
4710,986.06201171875,H2,131.8088601901335,39.70348728550122
4711,986.27099609375,H2,131.97507940199716,39.94959834993694
4712,986.47998046875,H2,132.1534407072491,39.74671956057374
4713,986.6890258789062,H2,132.35282905220458,39.85697840190894
4714,986.8980102539062,H2,132.64706779764447,40.02371719344
4715,987.1069946289062,H2,132.964485354117,40.0093036024769
4716,987.3159790039062,H2,133.29381402033403,39.98871409289517
4717,987.5250244140625,H2,133.72684752817943,39.9660674457174
4718,987.7340087890625,H2,134.18132436133646,40.27785718369448
4719,987.9429931640625,H2,134.69191711266637,40.22970967778849
4720,988.1519775390625,H2,135.2144194149737,40.57249201058644
4721,988.3610229492188,H2,135.75396416902097,40.68383631869643
4722,988.5700073242188,H2,136.27178098905713,40.539509910844316
4723,988.7789916992188,H2,136.77266834439106,40.74398749857067
4724,988.9879760742188,H2,137.21041955802283,40.76459826193013
4725,989.197021484375,H2,137.52398463457527,40.8924200718267
4726,989.406005859375,H2,137.74051110755227,41.15443737102886
4727,989.614990234375,H2,137.85968993726283,41.24104284189667
4728,989.823974609375,H2,137.85968993726283,40.92541615513079
4729,990.0330200195312,H2,137.74294288339883,40.88623375435097
4730,990.2420043945312,H2,137.48993938839115,40.723023929139515
4731,990.4509887695312,H2,137.14725774107706,40.83262492995387
4732,990.6599731445312,H2,136.7313946705201,40.7913946033307
4733,990.8690185546875,H2,136.25965112953963,40.79757875156287
4734,991.0780029296875,H2,135.729726226377,40.77284300721162
4735,991.2869873046875,H2,135.21684101375465,40.510653874898935
4736,991.4959716796875,H2,134.68949769948878,40.395260533418686
4737,991.7050170898438,H2,134.18616272549366,40.08343883948318
4738,991.9140014648438,H2,133.73892624613083,39.70142877848215
4739,992.1229858398438,H2,133.31071395894966,39.65408745065879
4740,992.3319702148438,H2,132.97655317575018,39.5758895375663
4741,992.541015625,H2,132.73877186691797,39.85697840190894
4742,992.75,H2,132.54574158957266,39.65408745065879
4743,992.958984375,H2,132.44203647288933,39.79936424689179
4744,993.1680297851562,H2,132.42033505410123,39.56971698329048
4745,993.3770141601562,H2,132.49991420498532,40.01959894607998
4746,993.5859985351562,H2,132.69050325356446,40.157594434612754
4747,993.7949829101562,H2,132.95000457554218,39.777603997787516
4748,994.0040283203125,H2,133.27932907652718,40.06902206036567
4749,994.2130126953125,H2,133.6295674727287,40.42204388188875
4750,994.4219970703125,H2,134.05313460614332,40.23795264597396
4751,994.6309814453125,H2,134.50082756832205,40.22970967778849
4752,994.8400268554688,H2,134.89763467265593,40.13905362679782
4753,995.0490112304688,H2,135.30160860464312,40.42616463268178
4754,995.2579956054688,H2,135.67398597133274,40.34788111203025
4755,995.4669799804688,H2,135.9188312059767,40.57661505605981
4756,995.676025390625,H2,136.12382829326307,40.646716453204945
4757,995.885009765625,H2,136.23781854783368,40.87798555117139
4758,996.093994140625,H2,136.2572252131342,40.72921196585111
4759,996.302978515625,H2,136.23539279791063,40.89860653081456
4760,996.5120239257812,H2,136.13837796626328,40.81407050500119
4761,996.7210083007812,H2,135.94550890895775,40.65496487173037
4762,996.9299926757812,H2,135.76608383343114,40.64877853424109
4763,997.1389770507812,H2,135.5705926779216,40.94397822116647
4764,997.3480224609375,H2,135.33309947228744,40.83674830839612
4765,997.5570068359375,H2,135.13013492223948,40.68589868290062
4766,997.7659912109375,H2,134.9969108258392,40.56424610831877
4767,997.9749755859375,H2,134.89763467265593,40.58486133569272
4768,998.1840209960938,H2,134.90489772883274,40.39114025389801
4769,998.3930053710938,H2,134.93153035659122,40.343761554970214
4770,998.6019897460938,H2,135.13013492223948,40.611663482111204
4771,998.8109741210938,H2,135.4154749647256,40.46737559718305
4772,999.02001953125,H2,135.8072941490477,40.38908013769915
4773,999.22900390625,H2,136.35184966270964,40.37465976410315
4774,999.43798828125,H2,137.0082734787136,40.90479313131934
4775,999.64697265625,H2,137.75510204081633,41.466000129646744
4776,999.8560180664062,H2,138.61342727622795,41.79802608254768
4777,1000.0650024414062,H2,139.5324455491973,41.84346871318611
4778,1000.2739868164062,H2,140.5002001563126,41.83314017323414
